Name,Sparse Pattern,Sparse Block Ratio,Sparse Ratio,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
DequantizeLinear_1269,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1271,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1274,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1275,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1277,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Resize_1279,1x1,0.00%,0.00%,0,0.00%,3276816,0.37%,4,0.00%,1x128x40x40,1x128x80x80
Concat_1280,1x1,0.00%,0.00%,0,0.00%,6553600,0.74%,0,0.00%,1x128x80x80,1x256x80x80
QuantizeLinear_1283,1x1,0.00%,0.00%,3276800,0.04%,6553600,0.74%,0,0.00%,1x256x80x80,1x256x80x80
Conv_1293_quant,4x1,66.96%,66.96%,105267200,1.19%,1704192,0.19%,16448,0.23%,1x256x80x80,1x64x80x80
Conv_1380_quant,4x1,76.68%,76.68%,105267200,1.19%,1704192,0.19%,16448,0.23%,1x256x80x80,1x64x80x80
DequantizeLinear_1301,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
DequantizeLinear_1388,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Add_1303,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Add_1390,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Clip_1306,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Clip_1393,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Mul_1307,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Mul_1394,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Div_1309,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Div_1396,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
QuantizeLinear_1312,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Conv_1322_quant,4x1,52.51%,52.51%,26624000,0.30%,1655040,0.19%,4160,0.06%,1x64x80x80,1x64x80x80
DequantizeLinear_1330,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Add_1332,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Clip_1335,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Mul_1336,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Div_1338,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
QuantizeLinear_1341,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Conv_1351_quant,4x1,67.28%,67.28%,236339200,2.68%,1786112,0.20%,36928,0.51%,1x64x80x80,1x64x80x80
DequantizeLinear_1359,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Add_1361,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Clip_1364,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Mul_1365,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Div_1367,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x64x80x80,1x64x80x80
Concat_1397,1x1,0.00%,0.00%,0,0.00%,3276800,0.37%,0,0.00%,1x64x80x80,1x128x80x80
QuantizeLinear_1400,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Conv_1410_quant,4x1,69.37%,69.37%,105676800,1.20%,3342848,0.38%,16512,0.23%,1x128x80x80,1x128x80x80
DequantizeLinear_1418,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Add_1420,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Clip_1423,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Mul_1424,1x1,0.00%,0.00%,819200,0.01%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Div_1426,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
QuantizeLinear_1429,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x128x80x80,1x128x80x80
Conv_1779,1x1,0.00%,0.00%,210528000,2.38%,6659580,0.76%,32895,0.45%,1x128x80x80,1x255x80x80
Conv_1439_quant,4x1,76.76%,76.76%,236134400,2.67%,1409536,0.16%,147584,2.03%,1x128x80x80,1x128x40x40
Shape_1780,1x1,0.00%,0.00%,0,0.00%,16,0.00%,0,0.00%,1x255x80x80,4
Shape_1783,1x1,0.00%,0.00%,0,0.00%,16,0.00%,0,0.00%,1x255x80x80,4
Shape_1786,1x1,0.00%,0.00%,0,0.00%,16,0.00%,0,0.00%,1x255x80x80,4
DequantizeLinear_1447,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Gather_1782,1x1,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0
Gather_1785,1x1,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0
Gather_1788,1x1,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,4,0
Add_1449,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Unsqueeze_1789,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Unsqueeze_1790,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Unsqueeze_1791,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Cast_1795,1x1,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0
Cast_1799,1x1,0.00%,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0
Unsqueeze_1821,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Unsqueeze_1822,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Unsqueeze_1855,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,0,1
Clip_1452,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Concat_1792,1x1,0.00%,0.00%,0,0.00%,28,0.00%,2,0.00%,1,5
Range_1798,1x1,0.00%,0.00%,160,0.00%,320,0.00%,0,0.00%,0,80
Range_1802,1x1,0.00%,0.00%,160,0.00%,320,0.00%,0,0.00%,0,80
Concat_1823,1x1,0.00%,0.00%,0,0.00%,32,0.00%,3,0.00%,1,5
Concat_1856,1x1,0.00%,0.00%,0,0.00%,20,0.00%,2,0.00%,1,3
Mul_1453,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Reshape_1793,1x1,0.00%,0.00%,0,0.00%,6528000,0.74%,0,0.00%,1x255x80x80,1x3x85x80x80
Reshape_1804,1x1,0.00%,0.00%,0,0.00%,324,0.00%,1,0.00%,80,80
Reshape_1806,1x1,0.00%,0.00%,0,0.00%,324,0.00%,1,0.00%,80,80
Div_1455,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Shape_1807,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,80,1
Shape_1808,1x1,0.00%,0.00%,0,0.00%,4,0.00%,0,0.00%,80,1
Transpose_1794,1x1,0.00%,0.00%,0,0.00%,6528000,0.74%,0,0.00%,1x3x85x80x80,1x3x80x80x85
Concat_1456,1x1,0.00%,0.00%,0,0.00%,1638400,0.19%,0,0.00%,1x128x40x40,1x256x40x40
Concat_1809,1x1,0.00%,0.00%,0,0.00%,8,0.00%,0,0.00%,1,2
Concat_1811,1x1,0.00%,0.00%,0,0.00%,12,0.00%,1,0.00%,1,2
Concat_1815,1x1,0.00%,0.00%,0,0.00%,12,0.00%,1,0.00%,1,2
Sigmoid_1827,1x1,0.00%,0.00%,26112000,0.30%,6528000,0.74%,0,0.00%,1x3x80x80x85,1x3x80x80x85
QuantizeLinear_1459,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Reshape_1812,1x1,0.00%,0.00%,0,0.00%,320,0.00%,0,0.00%,80,80x1
Reshape_1816,1x1,0.00%,0.00%,0,0.00%,320,0.00%,0,0.00%,80,1x80
Slice_1832,1x1,0.00%,0.00%,0,0.00%,153616,0.02%,4,0.00%,1x3x80x80x85,1x3x80x80x2
Slice_1844,1x1,0.00%,0.00%,0,0.00%,153616,0.02%,4,0.00%,1x3x80x80x85,1x3x80x80x2
Slice_1853,1x1,0.00%,0.00%,0,0.00%,6220816,0.71%,4,0.00%,1x3x80x80x85,1x3x80x80x81
Conv_1469_quant,4x1,66.93%,66.93%,52633600,0.60%,950784,0.11%,32896,0.45%,1x256x40x40,1x128x40x40
Conv_1556_quant,4x1,76.36%,76.36%,52633600,0.60%,950784,0.11%,32896,0.45%,1x256x40x40,1x128x40x40
Expand_1813,1x1,0.00%,0.00%,0,0.00%,25600,0.00%,0,0.00%,80x1,80x80
Expand_1817,1x1,0.00%,0.00%,0,0.00%,25600,0.00%,0,0.00%,1x80,80x80
Mul_1834,1x1,0.00%,0.00%,38400,0.00%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Mul_1846,1x1,0.00%,0.00%,38400,0.00%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
DequantizeLinear_1477,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
DequantizeLinear_1564,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Unsqueeze_1818,1x1,0.00%,0.00%,0,0.00%,25600,0.00%,0,0.00%,80x80,80x80x1
Unsqueeze_1819,1x1,0.00%,0.00%,0,0.00%,25600,0.00%,0,0.00%,80x80,80x80x1
Sub_1836,1x1,0.00%,0.00%,38400,0.00%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Pow_1847,1x1,0.00%,0.00%,1228800,0.01%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Add_1479,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1566,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Concat_1820,1x1,0.00%,0.00%,0,0.00%,51200,0.01%,0,0.00%,80x80x1,80x80x2
Mul_1848,1x1,0.00%,0.00%,38400,0.00%,153624,0.02%,6,0.00%,1x3x80x80x2,1x3x80x80x2
Clip_1482,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1569,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Reshape_1824,1x1,0.00%,0.00%,0,0.00%,51200,0.01%,0,0.00%,80x80x2,1x1x80x80x2
